objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
jmtgmc001,gmc10a.pdf,,,Fording Blaeberry River Below Howse Pass,J.M. Thorington,1922-07-07,"One of the expedition members drives four horses through the river, the horses carrying luggage on their backs. The photograph was shot from the bank of the river, providing a third person view, separate from and uninvolved with the mountaineer's actions.",Valley; Horses; River; Travel; 1st Expedition,Blaeberry River; Howse Pass,51.803814,-116.760987,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com. ",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc002,gmc10b.pdf,,,"Breaking Camp, Amiskwi Valley ",J.M. Thorington,1922-07-08,"A horse watches over the eight visible mountaineers, as they set up the canvas and weights for their tent along a riverbed. Campsites were typically only occupied for one to two nights, as mountaineers aim to cover dozens of miles each day, moving their sites through the valleys while they set upon the mountains.",Valley; Campsite; River; 1st Expedition,Amiskwi Valley,51.562734,-116.805683,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc003,gmc11-12.pdf,,,Howse Pass And North Saskatchewan River,J.M. Thorington,1922-07-09,"A quote from Scottish mountaineer J. Norman Collie (d. 1942) accompanies the image of Howse Pass, its detailed descriptions of color compensating for the lack thereof in the photograph.",Valley; River; Landscape; 1st Expedition,Howse Pass; Saskatchewan River,51.95352671223563,-116.75629291010154,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc004,gmc27a.pdf,,,Pack-Train Fording Mistaya River,J.M. Thorington,1922-07-10,"Thorington, from high upon his horse, lets readers see through his eyes mid-action, while he follows his party (likewise on horseback) through the Mistaya River.",Valley; Horses; River; Travel; 1st Expedition,Mistaya River,51.63101470523598,-116.74616060639356,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com. ",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc005,gmc27b.pdf,,,"Upper Wildfowl Lake, Mistaya Valley",J.M. Thorington,1922-07-10,"The view from the bank of this lake, looking across the water towards Howse and Aguille peaks.",Valley; Lake; Landscape; 1st Expedition,Wildfowl Lakes,51.853908,-116.637518,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc006,gmc35ab.pdf,,,Map and Diagram of the Freshfield Group,V.A. Finn; Interprovincial Boundary Commission,1922-07-13,"Thorington effectively creates a 360-degree view of the Fairfield range by supplementing the Canadian government's recommended trail map (above) with his own party's photograph (below). While the image above depicts the South and East portions of the range, the image below depicts the North and West portions.",Mountain; Landscape; Map; 1st Expedition,,,,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc007,gmc40-41.pdf,,,"The Freshfield Group, Looking S.W. From Mt. Bergne",J.M. Thorington; Interprovincial Boundary Commission,1922-07-25,Thorington's handwritten dates and annotations of trails accompany this panoramic photograph to summarize his 1922 expedition across the Freshfield Group.,Mountain; Panorama; Map; 1st Expedition,,,,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com. ",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc008,gmc42a.pdf,,,On The Summit of Mt. Nanga Parbat,J.M. Thorington,1922-07-16,"H. Palmer (right) and J.M. Thorington (left) pose between an ice pick at the summit marker of the mountain. Photograph taken  by E. Feuz, though he is not credited.",Mountain; Portrait; 1st Expedition,Mt. Nanga Parbat,51.70399432610834,-116.86347271116513,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc009,gmc42b.pdf,,,Edward Feuz on Summit Crest of Mt. Barnard,J.M. Thorington,1922-07-14,"Feuz was one of Thorington's mountain guides for his 1922 expedition. In this minimalist photo, he seems to direct Thorington-- and the viewer, at that-- towards the side of the cliff.",Mountain; Travel; 1st Expedition,Mt. Barnard,51.7070112526481,-116.92555846860611,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/
jmtgmc010,gmc74b.pdf,,,Campground on Castleguard Meadows,W.O. Field,1923-07-05,"Mt. Castleguard's peak looms behind Thorington and his party's campsite, conveniently situated at the treeline of the mountain. Thorington writes that he had to establish multiple 'emergency' campsites just after this one, as the weather at Mt. Castleguard was not climbing friendly.",Valley; Mountain; Campsite; 2nd Expedition,Mt. Castleguard,52.101088663902054,-117.20400335771163,"Manuscript of The Glittering Mountains of Canada; J. Monroe Thorington Collection, WC005, Manuscripts Division, Department of Special Collections, Princeton University Library.",,Image;StillImage,application/pdf,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Princeton University Special Collections. For other uses beyond free use, please contact Princeton University Special Collections at specialcollections@princeton.libanswers.com. ",https://rightsstatements.org/vocab/InC-EDU/1.0/
